,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
6723,2068-WWXQZ,1,0,0,0,46,1,0,2,1,1,1,1,1,1,2,0,0,20.05,902.0,0
1705,4918-FYJNT,0,1,1,0,55,1,2,1,0,2,2,2,0,0,0,0,2,90.45,5044.8,0
6588,3389-KTRXV,0,0,1,1,23,1,2,2,1,1,1,1,1,1,2,0,3,23.85,625.65,0
6595,5702-KVQRD,1,0,1,0,71,1,0,0,2,0,2,2,2,2,2,1,2,82.55,5832.65,0
589,0795-LAFGP,1,0,1,1,71,1,2,0,2,2,2,2,2,2,2,0,2,90.4,6668.05,0
5948,1414-YADCW,1,0,1,0,70,1,0,1,2,2,0,2,0,0,2,0,0,84.6,5706.2,0
6124,7153-CHRBV,0,0,1,1,57,1,0,0,2,0,2,2,0,0,1,1,3,59.3,3274.35,0
1557,4672-FOTSD,1,0,0,0,12,1,2,0,2,2,0,2,0,0,0,1,2,67.25,832.3,0
5024,8774-GSBUN,1,0,1,0,72,1,2,2,1,1,1,1,1,1,2,0,3,25.4,1797.1,0
59,5954-BDFSG,0,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,1,107.5,7853.7,0
1091,5832-TRLPB,1,0,0,0,29,1,0,0,0,0,2,2,2,2,1,1,0,75.35,2243.9,0
1146,1430-SFQSA,1,0,0,0,29,0,1,0,2,0,0,2,0,0,1,0,3,35.6,1072.6,0
6364,9717-IOAAF,1,0,0,1,27,1,2,2,1,1,1,1,1,1,2,1,1,25.85,788.55,0
532,4234-XTNEA,1,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,79.95,174.45,0
2031,5349-AZPEW,0,0,1,1,5,0,1,0,0,0,0,0,0,0,0,0,3,25.05,125.5,0
1399,3131-NWVFJ,0,0,1,1,14,1,0,2,1,1,1,1,1,1,1,0,3,19.55,294.5,0
1652,3307-TLCUD,1,0,1,0,17,0,1,0,2,0,2,0,0,0,0,0,3,34.4,592.75,0
3436,0428-AXXLJ,1,0,0,0,25,1,0,2,1,1,1,1,1,1,1,1,0,19.5,516.3,0
2928,1930-QPBVZ,1,0,1,1,68,1,0,1,2,2,0,2,0,2,2,0,0,95.1,6683.4,0
2586,1051-EQPZR,0,0,1,1,44,1,0,2,1,1,1,1,1,1,0,0,3,19.6,780.25,0
5701,6476-YHMGA,0,0,1,1,15,1,0,0,0,2,2,2,2,2,0,0,0,76.5,1155.6,0
4940,3703-KBKZP,1,1,0,0,16,1,2,1,0,0,0,0,0,0,0,1,0,74.45,1261.35,0
3651,2900-PHPLN,0,1,1,0,70,1,0,2,1,1,1,1,1,1,2,1,1,19.55,1462.05,0
1136,6621-NRZAK,0,0,1,1,63,1,0,2,1,1,1,1,1,1,2,0,1,20.0,1209.25,0
1305,4945-RVMTE,0,0,0,0,28,1,0,0,0,0,2,0,2,0,0,1,0,59.55,1646.45,0
1281,9531-NSBMR,0,0,0,0,36,1,0,2,1,1,1,1,1,1,1,1,0,19.25,679.8,0
3449,5473-KHBPS,0,0,1,1,52,1,2,1,0,2,2,0,2,0,1,1,1,95.7,4976.15,0
4543,7216-KAOID,1,0,1,1,41,1,0,2,1,1,1,1,1,1,1,0,0,19.5,798.2,0
5672,5915-DGNVC,0,0,1,0,49,1,2,0,2,2,2,0,0,2,1,0,2,71.8,3472.05,0
2905,4692-NNQRU,0,0,1,0,21,1,0,1,0,0,2,2,0,0,1,0,2,79.2,1742.45,0
4855,0868-VJRDR,1,0,1,0,64,1,0,1,2,2,0,2,2,2,2,1,1,104.05,6605.55,0
5291,1334-PDUKM,0,0,1,0,68,1,2,1,0,2,2,0,0,0,1,0,1,86.45,5762.95,0
6883,2133-TSRRM,0,0,0,1,34,1,0,1,2,2,2,0,2,2,0,1,0,105.35,3688.6,0
3616,8707-RMEZH,0,1,1,0,69,1,0,1,2,2,0,0,0,2,1,0,1,87.3,6055.55,0
4153,5214-CHIWJ,1,0,0,0,27,1,0,2,1,1,1,1,1,1,1,0,3,20.3,595.05,0
1516,6198-RTPMF,0,0,1,0,17,1,2,1,0,0,0,0,2,2,0,0,2,92.6,1579.7,0
4884,2359-KLTEK,0,0,1,1,41,1,0,1,0,0,2,0,2,2,0,1,0,94.9,3848.0,0
6799,8071-SBTRN,0,0,0,0,70,1,2,1,2,2,2,0,2,2,2,1,3,111.15,7737.55,0
4263,2121-JAFOM,0,0,1,0,72,1,2,1,2,2,2,2,2,2,2,1,1,115.55,8312.4,0
3609,4488-KQFDT,0,0,0,0,61,1,2,1,0,2,2,0,2,2,1,1,2,103.95,6423.0,0
2918,2761-XECQW,1,1,1,0,8,0,1,0,0,2,2,0,0,2,0,1,3,43.35,371.4,0
3862,5854-KSRBJ,1,0,1,1,70,1,2,2,1,1,1,1,1,1,2,0,3,25.4,1782.05,0
570,7293-LSCDV,0,0,1,1,60,1,0,2,1,1,1,1,1,1,2,1,1,19.25,1103.25,0
2764,1810-MVMAI,1,0,1,1,30,1,2,0,2,2,2,2,0,0,0,0,2,67.6,2000.2,0
3243,3665-JATSN,0,0,0,0,19,0,1,0,0,2,0,0,0,2,0,1,2,39.7,710.05,0
1203,9087-EYCPR,0,0,0,0,60,1,2,2,1,1,1,1,1,1,2,0,3,25.0,1505.05,0
2569,8237-ULIXL,0,0,1,0,72,1,2,2,1,1,1,1,1,1,2,0,1,24.85,1871.85,0
6769,9916-AYHTC,1,0,0,0,48,1,0,2,1,1,1,1,1,1,2,0,1,19.85,916.0,0
4383,1088-CNNKB,1,0,1,0,63,1,2,0,2,2,2,2,0,2,1,0,1,80.0,5040.2,0
1943,7442-YGZFK,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,1,49.8,49.8,0
5223,1241-EZFMJ,1,0,1,0,61,1,2,2,1,1,1,1,1,1,2,0,0,25.45,1538.6,0
5338,2580-ASVVY,0,0,1,0,37,0,1,0,2,0,0,2,2,0,2,0,2,45.4,1593.1,0
6165,0644-OQMDK,1,1,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,70.65,293.85,0
5348,9495-REDIY,1,0,0,1,25,0,1,0,2,0,0,0,2,0,1,1,1,40.65,970.55,0
2482,9588-OZDMQ,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,2,45.0,89.75,0
3947,4324-AHJKS,0,0,0,0,5,1,0,0,2,0,2,0,0,0,0,0,1,55.8,300.4,0
193,9680-NIAUV,0,0,1,1,72,1,2,1,2,2,2,0,2,2,2,0,1,109.7,8129.3,0
4652,3178-CIFOT,0,0,0,0,23,1,0,2,1,1,1,1,1,1,1,1,1,19.65,478.1,0
6650,5850-BDWCY,0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.2,123.65,0
2383,3787-TRIAL,1,0,1,1,21,0,1,0,0,0,0,0,0,0,0,1,2,26.05,565.75,0
4969,2303-PJYHN,0,0,1,0,2,1,0,2,1,1,1,1,1,1,0,0,0,19.85,52.0,0
1272,1257-SXUXQ,1,0,1,1,5,1,0,2,1,1,1,1,1,1,0,0,3,19.45,86.05,0
183,5524-KHNJP,1,0,1,1,33,1,0,0,2,0,2,0,2,2,1,0,1,74.75,2453.3,0
5265,4274-DRSQT,0,0,0,0,66,1,2,1,0,2,0,0,2,0,1,1,0,88.9,6000.1,0
798,3807-XHCJH,0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,20.0,20.0,0
3442,0468-YRPXN,1,0,0,0,29,1,0,1,0,0,2,2,2,2,0,1,1,98.8,2807.1,0
6090,9625-QNLUX,1,0,1,1,68,1,0,1,2,2,2,0,2,2,2,1,1,103.25,7074.4,0
3660,2259-OUUSZ,1,0,0,0,7,0,1,0,0,0,2,2,0,0,1,1,1,35.5,249.55,0
4345,4302-ZYFEL,1,0,1,1,69,1,0,2,1,1,1,1,1,1,1,1,1,20.55,1403.1,0
5020,5231-FIQPA,0,0,0,0,41,1,0,2,1,1,1,1,1,1,2,1,3,19.85,810.45,0
3023,0238-WHBIQ,1,0,1,1,72,1,2,0,2,2,2,2,2,2,2,0,1,89.7,6339.3,0
1262,6625-UTXEW,0,0,1,0,12,1,0,0,0,2,0,0,0,0,0,1,2,51.25,612.1,0
5616,9555-SAHUZ,0,0,1,1,38,1,0,0,2,2,0,0,0,0,0,0,2,54.5,2076.05,0
1894,9281-PKKZE,0,0,1,0,46,0,1,0,0,0,0,0,2,2,0,1,2,43.95,2007.85,0
3421,6719-FGEDO,0,0,1,0,72,1,2,1,2,2,2,2,0,0,2,1,0,97.0,7104.2,0
3250,6924-TDGMT,1,0,1,0,11,1,0,2,1,1,1,1,1,1,1,1,3,20.55,184.95,0
6576,2342-CKIAO,0,0,0,0,2,1,0,2,1,1,1,1,1,1,0,0,3,20.3,41.2,0
5053,4828-FAZPK,0,0,1,1,16,1,2,1,0,2,0,0,0,0,0,1,1,79.95,1267.95,0
6222,0130-SXOUN,1,0,0,0,66,1,2,1,0,2,0,0,0,2,0,0,1,89.4,5976.9,0
2232,6479-SZPLM,1,0,1,1,36,1,0,2,1,1,1,1,1,1,2,0,1,19.45,754.5,0
4102,1919-RTPQD,1,0,1,1,7,1,0,0,0,0,0,0,0,0,0,0,2,44.75,333.65,0
3487,9257-AZMTZ,0,0,1,1,52,1,0,2,1,1,1,1,1,1,2,0,0,20.1,1078.75,0
2327,0869-PAPRP,0,1,1,0,26,1,0,1,0,0,2,0,2,0,0,1,1,85.7,2067.0,0
5821,9066-QRSDU,0,0,1,0,69,1,2,2,1,1,1,1,1,1,1,1,2,26.3,1763.55,0
1637,4999-IEZLT,1,0,0,0,66,0,1,0,0,0,0,2,0,0,1,0,1,29.45,1983.15,0
1266,1251-STYSZ,0,1,0,0,4,1,2,1,2,0,0,0,0,0,0,1,2,80.25,303.7,0
5147,7622-NXQZR,1,0,0,0,28,0,1,0,0,0,0,2,0,0,0,1,1,30.1,810.85,0
1198,5542-NKVRU,0,0,0,0,42,1,0,2,1,1,1,1,1,1,2,1,0,20.75,844.45,0
1199,7126-RBHSD,0,0,1,0,17,1,2,1,2,0,0,0,0,0,0,0,2,78.9,1348.95,0
4206,0017-IUDMW,0,0,1,1,72,1,2,1,2,2,2,2,2,2,2,1,1,116.8,8456.75,0
3675,9753-OYLBX,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.5,20.5,0
3541,1530-ZTDOZ,0,0,1,0,49,0,1,0,2,0,0,0,2,0,0,0,0,40.65,2070.75,0
5386,6143-JQKEA,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,1,45.8,436.2,0
3089,5680-LQOGP,0,0,0,0,68,1,0,0,2,2,2,2,2,2,2,1,1,82.45,5646.6,0
6784,9546-KDTRB,0,0,0,0,19,1,2,2,1,1,1,1,1,1,0,0,0,24.7,465.85,0
6204,3058-WQDRE,1,0,0,0,13,0,1,0,0,0,0,0,0,0,0,1,0,25.15,331.85,0
6876,6341-AEVKX,0,0,1,0,62,1,0,1,2,0,2,2,2,2,1,1,2,104.3,6613.65,0
2506,8735-SDUFN,0,1,1,0,72,1,2,2,1,1,1,1,1,1,2,0,0,24.3,1778.7,0
2512,5829-NVSQN,0,0,1,0,23,1,0,0,2,0,2,2,0,2,1,1,0,68.75,1689.45,0
6592,3205-MXZRA,1,0,0,0,26,1,0,0,0,0,0,2,2,0,1,0,1,59.45,1507.0,0
6827,1036-GUDCL,1,0,1,1,60,1,0,0,2,2,0,2,2,2,0,1,1,79.05,4663.4,0
5121,4903-CNOZC,1,0,0,0,29,1,2,0,0,2,2,0,0,2,1,0,1,70.9,1964.6,0
4573,6855-VLGOS,1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,2,20.55,1432.55,0
6371,1535-VTJOQ,0,0,0,0,24,1,2,2,1,1,1,1,1,1,2,0,1,25.15,553.0,0
3678,6473-ULUHT,1,0,1,1,16,1,2,0,2,2,0,2,2,2,0,0,2,84.9,1398.25,0
5427,2455-USLMV,0,0,0,0,31,1,2,1,2,0,2,0,0,0,0,1,1,84.75,2613.4,0
4037,0603-TPMIB,0,0,1,1,59,1,2,2,1,1,1,1,1,1,2,0,3,25.45,1534.05,0
3996,1395-WSWXR,1,0,0,0,24,1,0,2,1,1,1,1,1,1,2,0,3,20.75,487.05,0
175,1744-JHKYS,0,0,1,0,34,1,2,2,1,1,1,1,1,1,0,0,2,24.7,780.2,0
2422,9603-OAIHC,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.05,70.05,0
981,1106-HRLKZ,1,0,1,1,40,1,0,2,1,1,1,1,1,1,2,0,3,19.6,808.95,0
1234,4525-VZCZG,1,0,0,1,54,1,0,1,2,2,0,2,2,2,1,1,2,105.85,5826.65,0
3404,6693-DJWTY,0,0,0,1,35,1,0,0,2,2,0,0,0,0,1,0,1,55.6,2016.45,0
2201,7951-VRDVK,0,0,0,0,36,1,0,0,2,2,2,2,2,2,1,0,0,85.85,3003.55,0
2964,9357-UJRUN,1,0,1,0,24,1,2,0,2,0,0,2,0,0,1,1,2,58.35,1346.9,0
5189,6907-FLBER,1,0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,2,54.3,54.3,0
1457,6362-QHAFM,1,0,1,0,42,1,2,1,0,0,2,2,2,2,1,1,2,108.3,4586.15,0
3710,3724-BSCVH,1,0,1,1,10,1,0,2,1,1,1,1,1,1,1,0,3,20.45,242.4,0
5467,9770-KXGQU,0,0,0,0,53,1,2,1,2,2,2,0,2,0,1,0,3,98.6,5311.85,0
4170,0906-QVPMS,1,0,1,0,72,1,2,1,2,2,2,2,2,2,2,0,0,115.15,8349.45,0
4310,8908-NMQTX,1,0,0,0,72,0,1,0,2,2,2,2,2,2,2,1,0,65.6,4566.5,0
1820,7554-AKDQF,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,3,45.65,323.45,0
4627,3680-CTHUH,1,0,0,0,60,1,2,1,2,2,2,2,2,2,1,1,1,116.6,7049.5,0
129,2639-UGMAZ,1,1,0,0,71,0,1,0,2,2,0,0,2,2,1,1,2,56.45,3985.35,0
752,1410-RSCMR,1,0,1,1,7,1,0,0,2,0,2,2,0,2,0,1,1,71.35,515.75,0
1646,2581-VKIRT,0,0,1,1,59,1,2,0,2,2,0,2,0,0,1,0,3,65.5,3801.3,0
4629,6112-KTHFQ,0,0,0,0,13,1,0,2,1,1,1,1,1,1,0,1,3,19.3,279.3,0
6022,5025-GOOKI,0,0,0,0,20,1,0,2,1,1,1,1,1,1,0,1,1,18.9,347.65,0
5550,8746-BFOAJ,1,1,0,0,21,1,0,2,1,1,1,1,1,1,1,0,0,20.5,429.55,0
1089,4546-FOKWR,0,0,0,0,16,1,2,1,0,0,0,0,0,0,0,1,1,74.75,1129.35,0
3022,1796-JANOW,0,0,0,0,2,1,0,2,1,1,1,1,1,1,0,0,3,19.95,38.15,0
4192,7137-NAXML,1,0,0,0,23,1,0,2,1,1,1,1,1,1,1,0,0,20.15,405.6,0
5083,7136-IHZJA,0,0,1,1,40,1,0,0,2,2,0,2,0,2,0,1,3,71.35,2847.2,0
5448,0580-PIQHM,0,0,1,1,41,1,2,1,2,2,2,0,0,2,1,1,0,101.6,3930.55,0
6865,8792-AOROI,0,0,1,0,8,1,0,0,2,0,0,2,0,2,2,0,3,65.5,564.35,0
6499,2676-ISHSF,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.3,20.3,0
4400,5215-LNLDJ,0,0,1,1,7,0,1,0,0,0,0,0,0,0,0,1,2,24.7,149.05,0
4586,7569-NMZYQ,0,0,1,1,72,1,2,1,2,2,2,2,2,2,2,1,0,118.75,8672.45,0
6069,8097-OMULG,1,0,1,1,59,1,0,0,0,2,2,2,2,2,1,0,1,76.75,4541.9,0
6856,4534-WGCIR,0,0,1,1,58,1,2,2,1,1,1,1,1,1,2,0,1,25.15,1509.9,0
1078,9845-PEEKO,0,1,0,0,59,1,2,1,0,2,0,0,0,0,2,1,1,79.2,4590.35,0
5669,1217-VASWC,1,1,1,0,43,1,0,1,0,2,2,0,2,2,1,1,0,100.55,4304.0,0
5747,9730-DRTMJ,1,0,1,0,32,1,2,0,2,0,0,2,2,0,1,1,1,72.8,2333.05,0
3239,3890-RTCMS,1,0,0,0,16,1,0,0,0,0,0,2,0,0,0,1,3,49.45,799.0,0
6697,8080-POTJR,0,0,0,0,30,1,2,0,2,0,2,0,2,2,1,1,1,79.3,2427.1,0
2554,5843-TTHGI,0,0,0,0,18,1,0,0,0,0,2,0,0,0,0,1,3,50.0,892.7,0
884,5170-PTRKA,0,0,1,1,49,0,1,0,2,0,0,2,0,0,1,1,1,35.8,1782.0,0
4807,9695-IDRZR,0,0,0,1,34,1,2,1,2,2,2,2,2,2,2,1,1,116.15,3946.9,0
5926,1356-MKYSK,1,0,0,0,6,1,0,0,2,0,2,2,2,2,0,0,1,78.65,483.3,0
3816,4304-XUMGI,1,1,1,1,50,1,2,0,2,2,2,0,0,2,2,1,0,75.15,3822.45,0
5103,6421-SZVEM,0,0,1,1,28,1,0,1,2,0,0,0,0,2,1,1,0,82.85,2320.8,0
3053,0960-HUWBM,1,0,1,1,65,1,2,1,0,0,2,2,2,2,2,1,0,104.1,6700.05,0
3235,4825-XJGDM,0,0,0,0,61,0,1,0,2,2,2,2,0,0,1,0,1,43.7,2696.55,0
6956,2451-YMUXS,1,1,0,0,67,1,2,0,2,2,0,2,0,0,2,1,0,64.55,4250.1,0
3230,8043-PNYSD,1,0,1,1,63,1,0,2,1,1,1,1,1,1,2,0,3,19.55,1245.6,0
859,5275-PMFUT,1,0,1,1,72,0,1,0,2,2,2,2,2,2,2,1,1,64.8,4719.75,0
3984,5884-FBCTL,0,0,1,1,72,1,2,2,1,1,1,1,1,1,2,0,0,25.1,1857.85,0
450,8592-PLTMQ,0,0,0,0,64,1,2,2,1,1,1,1,1,1,1,0,3,24.7,1642.75,0
3163,9281-OFDMF,1,1,0,0,39,1,2,1,0,2,0,0,0,2,0,0,2,90.7,3413.25,0
1582,5127-BZENZ,0,0,1,1,56,1,2,0,2,0,0,0,2,0,1,0,0,65.2,3512.15,0
5017,2073-QBVBI,0,0,1,0,41,0,1,0,0,2,0,2,0,0,1,0,3,35.45,1391.65,0
3698,7346-MEDWM,0,0,0,0,59,1,2,1,0,2,2,0,0,0,0,1,2,83.25,4949.1,0
7035,8456-QDAVC,1,0,0,0,19,1,0,1,0,0,0,0,2,0,0,1,0,78.7,1495.1,0
2739,4455-BFSPD,0,0,1,0,61,1,2,1,0,0,0,2,2,2,1,0,0,101.15,6383.9,0
6383,2335-GSODA,1,0,0,1,23,0,1,0,2,0,2,2,0,0,2,0,3,40.1,857.75,0
357,8984-EYLLL,1,0,1,0,64,1,2,1,0,2,0,2,2,2,2,1,2,105.25,6823.4,0
2404,5197-PYEPU,0,0,1,1,42,1,2,1,2,2,0,0,2,0,1,1,1,94.45,3923.8,0
6955,5392-AKEMH,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,1,2,45.05,523.1,0
6855,8738-JOKAR,0,0,0,0,42,1,0,0,2,2,0,2,0,2,1,1,3,67.7,2882.25,0
4410,0848-ZGQIJ,0,0,1,0,16,1,0,1,0,2,0,0,2,2,0,1,0,94.65,1461.15,0
3547,1568-BEKZM,1,1,1,0,70,1,2,0,2,2,2,2,2,2,2,0,1,90.05,6333.4,0
372,6122-EFVKN,1,0,0,1,24,0,1,0,2,0,0,2,0,0,2,0,3,35.75,830.8,0
1189,3916-NRPAP,1,0,0,0,3,1,0,1,0,0,2,0,0,2,0,0,1,85.7,256.75,0
6696,4566-NECEV,1,0,0,0,5,1,2,1,0,2,2,0,0,2,0,0,2,96.55,500.1,0
1510,7898-PDWQE,1,0,1,0,71,1,2,0,2,2,2,2,0,2,2,0,1,80.4,5727.15,0
2417,4307-KWMXE,1,0,0,0,10,0,1,0,0,2,0,2,0,0,0,0,2,35.75,389.8,0
6543,8050-XGRVL,0,0,1,1,62,1,0,0,2,0,2,0,0,0,1,0,1,54.75,3425.35,0
3388,8498-XXGWA,0,0,1,0,65,1,0,0,2,0,2,0,0,0,0,1,3,55.15,3673.15,0
3899,9278-VZKCD,0,1,1,0,52,1,2,1,2,2,2,0,2,2,0,1,2,109.1,5647.95,0
490,3552-CTCYF,1,0,1,1,63,1,2,1,0,2,2,0,2,2,2,1,0,104.8,6597.25,0
1429,4652-ODEVH,1,0,1,1,45,1,2,2,1,1,1,1,1,1,2,0,3,24.45,1088.25,0
1512,9314-IJWSQ,0,0,1,1,14,1,2,1,0,0,0,0,2,0,0,1,2,84.8,1203.9,0
566,6967-QIQRV,1,0,1,1,15,1,0,1,2,0,0,2,2,2,1,0,2,101.9,1667.25,0
3782,8800-JOOCF,0,0,0,1,12,1,2,1,0,0,0,0,2,0,0,1,2,84.05,966.55,0
